Time,Temperature,Stress,Creep Strain
0,338.7,0.44112,-1.30E-05
9.25926E-05,338.7,2.13765,1.19E-04
0.000196759,338.7,4.47824,2.26E-04
0.000300926,338.7,6.21341,2.95E-04
0.000393519,338.7,8.46197,4.00E-04
0.000497685,338.7,10.22795,5.31E-04
0.000590278,338.7,10.30111,5.70E-04
0.00068287,338.7,10.35464,5.88E-04
0.000775463,338.7,10.37578,6.00E-04
0.00087963,338.7,10.38636,6.08E-04
0.000972222,338.7,10.37869,6.15E-04
0.001076389,338.7,10.38526,6.21E-04
0.001180556,338.7,10.37545,6.25E-04
0.001273148,338.7,10.37687,6.31E-04
0.001365741,338.7,10.38121,6.35E-04
0.001469907,338.7,10.36809,6.38E-04
0.0015625,338.7,10.37136,6.41E-04
0.001655093,338.7,10.37382,6.45E-04
0.001747685,338.7,10.37624,6.48E-04
0.001921296,338.7,10.3846,6.50E-04
0.002083333,338.7,10.37032,6.52E-04
0.00224537,338.7,10.37357,6.54E-04
0.002407407,338.7,10.37683,6.55E-04
0.002569444,338.7,10.37761,6.59E-04
0.002731481,338.7,10.3678,6.59E-04
0.002893519,338.7,10.36784,6.61E-04
0.003055556,338.7,10.3679,6.63E-04
0.003217593,338.7,10.37209,6.64E-04
0.00337963,338.7,10.37224,6.64E-04
0.003553241,338.7,10.37566,6.67E-04
0.003703704,338.7,10.37499,6.71E-04
0.003865741,338.7,10.37837,6.75E-04
0.004027778,338.7,10.37846,6.80E-04
0.004189815,338.7,10.37118,6.82E-04
0.004363426,338.7,10.36711,6.84E-04
0.004525463,338.7,10.36713,6.83E-04
0.004675926,338.7,10.36526,6.85E-04
0.004837963,338.7,10.36711,6.85E-04
0.005,338.7,10.3671,6.84E-04
0.005173611,338.7,10.37037,6.86E-04
0.005335648,338.7,10.3704,6.86E-04
0.005497685,338.7,10.37129,6.86E-04
0.005648148,338.7,10.37138,6.88E-04
0.005810185,338.7,10.37044,6.91E-04
0.005972222,338.7,10.37162,6.94E-04
0.006145833,338.7,10.37173,6.98E-04
0.00630787,338.7,10.37427,7.01E-04
0.006469907,338.7,10.37432,7.04E-04
0.006631944,338.7,10.37353,7.06E-04
0.006782407,338.7,10.37351,7.11E-04
0.006956019,338.7,10.37267,7.13E-04
0.007118056,338.7,10.37259,7.18E-04
0.007280093,338.7,10.3725,7.20E-04
0.00744213,338.7,10.37161,7.22E-04
0.007592593,338.7,10.37149,7.23E-04
0.007766204,338.7,10.37053,7.25E-04
0.007928241,338.7,10.37362,7.27E-04
