Time,Temperature,Stress,Creep Strain
0.025763889,338.7,6.92108,0.00045302134
0.026111111,338.7,6.9191,0.00045224458
0.026469907,338.7,6.91713,0.00045230252
0.02681713,338.7,6.9171,0.00045510660
0.0271875,338.7,6.91511,0.00045516513
0.027523148,338.7,6.91709,0.00045743300
0.02787037,338.7,6.92704,0.00045797545
0.028229167,338.7,6.92492,0.00045899210
0.028587963,338.7,6.9249,0.00045857519
0.029293981,338.7,6.91906,0.00045600336
0.03,338.7,6.91782,0.00046212343
0.030706019,338.7,6.92179,0.00046009806
0.031400463,338.7,6.92178,0.00046147026
0.032094907,338.7,6.91979,0.00046433199
0.032800926,338.7,6.9218,0.00046516757
0.033506944,338.7,6.91983,0.00046343621
0.034212963,338.7,6.91587,0.00046498408
0.034907407,338.7,6.90196,0.00046700370
0.035613426,338.7,6.90397,0.00046783918
0.036319444,338.7,6.906,0.00046634807
0.037025463,338.7,6.90803,0.00046718297
0.037731481,338.7,6.91006,0.00046616896
0.0384375,338.7,6.93516,0.00047020233
0.039143519,338.7,6.91811,0.00046438140
0.039849537,338.7,6.91735,0.00046392665
0.040543981,338.7,6.92016,0.00046294930
0.04125,338.7,6.92416,0.00046462106
0.041956019,338.7,6.92336,0.00046744779
0.042662037,338.7,6.92416,0.00046784186
0.043368056,338.7,6.92415,0.00047112255
0.044074074,338.7,6.92128,0.00046894046
0.044780093,338.7,6.92014,0.00047279129
0.045486111,338.7,6.92093,0.00047652576
0.04619213,338.7,6.92288,0.00047545440
0.046898148,338.7,6.9229,0.00047354511
0.047592593,338.7,6.91696,0.00047240772
0.048310185,338.7,6.77688,0.00047754162
0.049016204,338.7,6.77685,0.00047897400
0.049710648,338.7,6.78087,0.00047641037
0.050416667,338.7,6.79085,0.00047653424
0.052534722,338.7,6.89834,0.00047838307
0.054652778,338.7,6.89165,0.00047726753
0.056759259,338.7,6.88253,0.00047908667
0.058854167,338.7,6.86984,0.00047868450
0.060972222,338.7,6.86061,0.00048283287
0.063090278,338.7,6.85544,0.00048352173
0.065196759,338.7,6.9112,0.00048486403
0.067280093,338.7,6.90572,0.00048317621
0.069386574,338.7,6.90385,0.00048561701
0.071493056,338.7,6.89721,0.00048587200
0.073599537,338.7,6.89206,0.00048984077
0.075717593,338.7,6.89083,0.00049041375
0.0778125,338.7,6.88874,0.00049238392
0.079930556,338.7,6.88871,0.00049196720
0.082037037,338.7,6.88671,0.00049435223
0.084131944,338.7,6.88674,0.00049482854
0.086226852,338.7,6.88589,0.00049485354
0.088344907,338.7,6.8809,0.00049643181
0.090462963,338.7,6.87691,0.00049756316
0.092569444,338.7,6.89272,0.00050061736
0.0946875,338.7,6.91051,0.00050128703
0.096793981,338.7,6.90726,0.00050239661
0.098888889,338.7,6.90139,0.00050584986
0.101006944,338.7,6.90693,0.00050091512
0.103125,338.7,6.90508,0.00050520453
0.105243056,338.7,6.89916,0.00050454355
0.107337963,338.7,6.89512,0.00050096427
0.109456019,338.7,6.8872,0.00050930921
0.1115625,338.7,6.88603,0.00050785243
0.113668981,338.7,6.88785,0.00050929010
0.115787037,338.7,6.88785,0.00050827610
0.117893519,338.7,6.88791,0.00051155493
0.12,338.7,6.88717,0.00051157670
0.122094907,338.7,6.88526,0.00050936627
0.124189815,338.7,6.8773,0.00051067399
0.126273148,338.7,6.87525,0.00051353769
0.128391204,338.7,6.87515,0.00051580733
0.130474537,338.7,6.87707,0.00051622796
0.132581019,338.7,6.87704,0.00051342544
0.134699074,338.7,6.87904,0.00051664721
0.136782407,338.7,6.88027,0.00051613384
0.138888889,338.7,6.89227,0.00051369330
0.141006944,338.7,6.88513,0.00051306820
0.143090278,338.7,6.87717,0.00051533031
0.145185185,338.7,6.87311,0.00051461473
0.152152778,338.7,6.8781,0.00051619766
0.159097222,338.7,6.86363,0.00051823375
0.166064815,338.7,6.8643,0.00052012274
0.173043981,338.7,6.85994,0.00052120538
0.179988426,338.7,6.90258,0.00052353016
0.186956019,338.7,6.90472,0.00052394442
0.193912037,338.7,6.88978,0.00053345033
0.200891204,338.7,6.89438,0.00053003444
0.207858796,338.7,6.88862,0.00053312655
0.214814815,338.7,6.88636,0.00053408782
0.221782407,338.7,6.89568,0.00053512590
0.22875,338.7,6.87991,0.00054000383
0.235694444,338.7,6.88795,0.00053970766
0.242662037,338.7,6.88022,0.00053862271
0.249606481,338.7,6.88014,0.00054608126
0.256550926,338.7,6.88337,0.00054544936
0.263541667,338.7,6.87997,0.00055032126
0.270497685,338.7,6.88727,0.00054766106
0.27744213,338.7,6.8794,0.00055171003
0.284409722,338.7,6.8859,0.00055330835
0.291365741,338.7,6.88399,0.00055199253
0.298321759,338.7,6.88199,0.00055628655
0.305289352,338.7,6.89033,0.00055311836
0.312268519,338.7,6.87758,0.00056112856
0.319236111,338.7,6.88548,0.00055946460
0.326215278,338.7,6.8776,0.00056017367
0.333159722,338.7,6.87742,0.00056393686
0.340115741,338.7,6.88182,0.00056189865
0.347083333,338.7,6.8706,0.00056706035
0.354039352,338.7,6.88281,0.00056461343
0.36099537,338.7,6.869,0.00056853901
0.367939815,338.7,6.87666,0.00057141551
0.374907407,338.7,6.8728,0.00056836764
0.381851852,338.7,6.87271,0.00056980189
0.388819444,338.7,6.87991,0.00056994803
0.395775463,338.7,6.86868,0.00057600482
0.402743056,338.7,6.87942,0.00057598714
0.409699074,338.7,6.86881,0.00057695540
0.416643519,338.7,6.87343,0.00057819141
0.423599537,338.7,6.87286,0.00057683628
0.430555556,338.7,6.86856,0.00057982595
0.4375,338.7,6.87564,0.00057949841
0.444467593,338.7,6.86295,0.00058374905
0.451423611,338.7,6.8707,0.00058435621
