sige,time,eps,Tabs
13.18821,0,0,318.15
16.2577,1.04E-04,0.000732157,318.15
17.8303,1.97E-04,0.001641996,318.15
19.34947,3.01E-04,0.002803963,318.15
19.57079,3.94E-04,0.003289447,318.15
19.89332,4.98E-04,0.003964465,318.15
19.92054,0.000590278,0.004296482,318.15
20.00213,0.000694444,0.004537729,318.15
19.99115,0.000787037,0.004744319,318.15
20.11727,0.000891204,0.004924205,318.15
20.19597,0.00099537,0.005085051,318.15
20.20764,0.001099537,0.005237945,318.15
20.30178,0.001203704,0.005375203,318.15
20.31649,0.001296296,0.0055102,318.15
20.43377,0.001400463,0.005632733,318.15
20.43816,0.001493056,0.005761283,318.15
20.4441,0.001597222,0.00584357,318.15
20.60264,0.001701389,0.005991897,318.15
20.6368,0.001793981,0.006078287,318.15
20.41329,0.001898148,0.006162162,318.15
20.458,0.001990741,0.00621566,318.15
20.57743,0.002094907,0.006316241,318.15
20.58649,0.002199074,0.006392088,318.15
20.59059,0.002303241,0.006465179,318.15
20.59362,0.002407407,0.006511246,318.15
20.63907,0.0025,0.0065799,318.15
20.66622,0.002604167,0.006669764,318.15
20.65837,0.002708333,0.006733382,318.15
20.66629,0.002800926,0.006789135,318.15
20.64566,0.002905093,0.006842967,318.15
20.64459,0.002997685,0.006892417,318.15
20.6332,0.003101852,0.006941568,318.15
20.62873,0.003194444,0.006974076,318.15
20.71378,0.003298611,0.007037535,318.15
20.67874,0.003391204,0.007086693,318.15
20.6624,0.00349537,0.007129723,318.15
20.63493,0.003587963,0.00716957,318.15
20.64458,0.003703704,0.007208938,318.15
20.62097,0.003796296,0.007245002,318.15
20.67454,0.003888889,0.007271148,318.15
20.64769,0.003993056,0.007309979,318.15
20.63395,0.004085648,0.007344844,318.15
20.63422,0.004189815,0.007390411,318.15
20.66434,0.004293981,0.007422272,318.15
20.6446,0.004513889,0.007489787,318.15
20.67884,0.00474537,0.007563799,318.15
20.65189,0.004988426,0.007636735,318.15
20.63144,0.005219907,0.00771136,318.15
20.6794,0.005451389,0.007779194,318.15
20.65496,0.005671296,0.007832058,318.15
20.69653,0.005902778,0.00789136,318.15
20.6719,0.006145833,0.007962154,318.15
20.6381,0.006377315,0.008016831,318.15
20.67007,0.006608796,0.008071091,318.15
20.64905,0.006828704,0.008116871,318.15
20.68855,0.007060185,0.008166805,318.15
20.65019,0.007291667,0.008225285,318.15
20.64722,0.007534722,0.008266439,318.15
20.65903,0.007766204,0.008322517,318.15
20.65499,0.007997685,0.008362713,318.15
20.69226,0.008217593,0.008414103,318.15
20.67505,0.008449074,0.008466398,318.15
20.648,0.00869213,0.008509067,318.15
20.64781,0.008923611,0.008550834,318.15
20.67286,0.009155093,0.008595011,318.15
20.64166,0.009386574,0.008630041,318.15
20.6551,0.009618056,0.008671153,318.15
20.68016,0.009861111,0.008714131,318.15
20.66298,0.010092593,0.008761566,318.15
20.68238,0.010451389,0.008822428,318.15
20.64822,0.010810185,0.00887493,318.15
20.6684,0.011168981,0.00893778,318.15
20.64778,0.011539352,0.00899287,318.15
20.68335,0.011898148,0.0090461,318.15
20.68052,0.012627315,0.00915895,318.15
20.68468,0.013333333,0.00926037,318.15
20.64483,0.014039352,0.00935252,318.15
20.6493,0.014756944,0.00944963,318.15
20.66358,0.015486111,0.00954433,318.15
20.64811,0.01619213,0.00963361,318.15
20.64442,0.016909722,0.00971725,318.15
20.644,0.017604167,0.00979968,318.15
20.65395,0.018333333,0.00988314,318.15
20.72382,0.019027778,0.00996222,318.15
20.65703,0.019756944,0.01004684,318.15
20.69507,0.020439815,0.01011923,318.15
20.65338,0.021168981,0.01019368,318.15
20.6697,0.021898148,0.01026711,318.15
20.67869,0.023310185,0.0104129,318.15
20.66984,0.024733796,0.01055539,318.15
20.6574,0.026157407,0.01068862,318.15
20.65799,0.027569444,0.01081673,318.15
20.65283,0.028981481,0.01093913,318.15
20.65497,0.031099537,0.01112231,318.15
20.65721,0.033206019,0.01129327,318.15
20.65188,0.0353125,0.01145816,318.15
20.66327,0.03880787,0.01171847,318.15
20.69113,0.042303241,0.01196447,318.15
20.67969,0.045810185,0.01220456,318.15
20.67192,0.049293981,0.01242718,318.15
20.64157,0.052789352,0.01264217,318.15
20.66823,0.056284722,0.01285383,318.15
20.65687,0.059780093,0.01305882,318.15
20.6684,0.063275463,0.01325387,318.15
20.65544,0.066759259,0.01343983,318.15
20.65798,0.07025463,0.01363042,318.15
20.66344,0.07375,0.01380314,318.15
20.64105,0.07724537,0.01398104,318.15
20.66072,0.080740741,0.01415285,318.15
20.65988,0.084236111,0.01431851,318.15
20.65016,0.087719907,0.01447688,318.15
20.64747,0.091215278,0.0146374,318.15
20.67717,0.094710648,0.01479121,318.15
20.64437,0.098194444,0.0149433,318.15
20.65166,0.101701389,0.01509116,318.15
20.68745,0.105185185,0.01523256,318.15
20.67202,0.108668981,0.01538447,318.15
20.64921,0.112164352,0.01552137,318.15
20.65333,0.115659722,0.01566441,318.15
20.66993,0.119166667,0.01579663,318.15
20.6742,0.122650463,0.01593201,318.15
20.66182,0.126145833,0.01606328,318.15
20.64108,0.129652778,0.0161956,318.15
20.6726,0.133136574,0.01632018,318.15
20.64758,0.136631944,0.01644047,318.15
20.68747,0.140127315,0.01656775,318.15
20.66498,0.143622685,0.01668927,318.15
20.65601,0.147106481,0.01681179,318.15
20.65688,0.150613426,0.01692722,318.15
20.64796,0.154097222,0.01704478,318.15
20.6424,0.157592593,0.01716188,318.15
20.65347,0.161099537,0.01727765,318.15
20.66078,0.164594907,0.01739198,318.15
20.65529,0.168090278,0.01749971,318.15
20.64655,0.171585648,0.01761242,318.15
20.64121,0.175069444,0.01771415,318.15
20.6421,0.178564815,0.01782744,318.15
20.66684,0.182060185,0.01793654,318.15
20.6678,0.185555556,0.01804597,318.15
20.66893,0.189050926,0.0181472,318.15
20.65973,0.192534722,0.01825062,318.15
20.66787,0.196030093,0.01835467,318.15
20.68897,0.199525463,0.01845125,318.15
20.68357,0.203020833,0.01855696,318.15
20.64251,0.206516204,0.01864797,318.15
20.66416,0.210011574,0.01875054,318.15
20.64169,0.213506944,0.01884284,318.15
20.64599,0.217002315,0.0189464,318.15
20.64733,0.220497685,0.0190372,318.15
20.68124,0.223981481,0.01913762,318.15
20.69982,0.227488426,0.01923045,318.15
20.64843,0.230972222,0.0193262,318.15
20.66005,0.234467593,0.01941624,318.15
20.65425,0.237974537,0.01950958,318.15
20.69152,0.241458333,0.01960141,318.15
20.64726,0.24494213,0.01969196,318.15
20.65894,0.248425926,0.01977997,318.15
20.66674,0.25193287,0.01986871,318.15
20.70846,0.255428241,0.01995759,318.15
20.64383,0.258923611,0.02004556,318.15
20.6587,0.262418981,0.02013354,318.15
20.66654,0.265902778,0.02021957,318.15
20.68079,0.269398148,0.02030501,318.15
20.64699,0.272893519,0.02038887,318.15
20.65802,0.276388889,0.02047596,318.15
20.67552,0.279872685,0.02056032,318.15
20.64499,0.283368056,0.02064249,318.15
20.6689,0.286863426,0.02072583,318.15
20.64861,0.290347222,0.02080668,318.15
20.64632,0.293842593,0.02088778,318.15
20.64472,0.297326389,0.02096523,318.15
20.65966,0.300833333,0.02104719,318.15
20.69,0.304328704,0.02112995,318.15
20.66337,0.307824074,0.0212087,318.15
20.65214,0.311319444,0.02128648,318.15
20.65311,0.314803241,0.02136506,318.15
20.66112,0.318298611,0.02144236,318.15
20.64748,0.321793981,0.02151229,318.15
20.64547,0.325300926,0.02158033,318.15
20.66701,0.328796296,0.02165357,318.15
20.66534,0.332280093,0.02173199,318.15
20.64717,0.335763889,0.02180786,318.15
20.67562,0.339270833,0.02188745,318.15
20.67411,0.34275463,0.02195985,318.15
20.64632,0.34625,0.02203354,318.15
20.67104,0.34974537,0.022109,318.15
20.67465,0.353240741,0.02218246,318.15
20.65198,0.356736111,0.02225592,318.15
20.65302,0.360231481,0.02233012,318.15
20.65606,0.363726852,0.02239822,318.15
20.68332,0.367222222,0.0224734,318.15
20.64284,0.370717593,0.02254426,318.15
20.65732,0.374201389,0.0226172,318.15
20.66543,0.377696759,0.0226891,318.15
20.63841,0.381203704,0.02275924,318.15
20.653,0.3846875,0.02282609,318.15
20.67776,0.38818287,0.02289722,318.15
20.67959,0.391678241,0.02296365,318.15
20.67799,0.395173611,0.02304046,318.15
20.63764,0.398657407,0.02310586,318.15
20.65602,0.402152778,0.02317536,318.15
20.66418,0.405636574,0.02324389,318.15
20.65386,0.409143519,0.02330955,318.15
20.67163,0.412638889,0.02337918,318.15
20.68302,0.416122685,0.02344607,318.15
20.64906,0.419618056,0.02351266,318.15
20.65158,0.423113426,0.02357553,318.15
20.65667,0.426608796,0.02363864,318.15
20.65539,0.430092593,0.02370005,318.15
20.68977,0.433587963,0.02376898,318.15
20.64938,0.437071759,0.02383669,318.15
20.6545,0.440578704,0.02389756,318.15
20.65064,0.4440625,0.02396204,318.15
20.65503,0.44755787,0.02402817,318.15
20.67675,0.451053241,0.02408936,318.15
20.66006,0.454548611,0.02415501,318.15
20.66447,0.458043981,0.02421994,318.15
20.6696,0.461539352,0.02428138,318.15
20.64531,0.465034722,0.02434307,318.15
20.63443,0.468518519,0.02440666,318.15
20.66633,0.472013889,0.02446946,318.15
20.64527,0.475520833,0.02453104,318.15
20.65356,0.47900463,0.02459367,318.15
20.67532,0.482488426,0.0246522,318.15
20.64153,0.485983796,0.0247122,318.15
20.65625,0.489490741,0.02477367,318.15
20.64608,0.492986111,0.0248327,318.15
20.65125,0.496481481,0.02488978,318.15
20.65321,0.499965278,0.0249501,318.15
20.68445,0.503472222,0.02501196,318.15
20.65387,0.506956019,0.02507253,318.15
20.68515,0.510451389,0.02513495,318.15
20.64821,0.513935185,0.02519222,318.15
20.66291,0.517430556,0.02525257,318.15
20.65596,0.5209375,0.02531003,318.15
20.66753,0.52443287,0.02536818,318.15
20.64332,0.527916667,0.02542877,318.15
20.64787,0.531412037,0.02548588,318.15
20.64828,0.534907407,0.02552837,318.15
20.6466,0.538402778,0.02557954,318.15
20.67204,0.541898148,0.02564236,318.15
20.68995,0.545393519,0.02570217,318.15
20.66892,0.548877315,0.02576395,318.15
20.64229,0.552372685,0.02581882,318.15
20.66659,0.555868056,0.02587699,318.15
